. Sequence file : [6t_filtered_min4_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	             	                                      	 0.89011   0.02285  -0.97755   0.06460  
      	     	          	           	             	                                      	 0.18920   0.76395   0.05831  -1.01145  

  #53	6   	-105337.39004	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03343   0.05842   0.78238   0.19263  
      	     	          	           	             	                                      	 0.06597  -0.97415   0.02507   0.88312  
      	     	          	           	             	                                      	 0.86794   0.02462  -0.95374   0.06117  
      	     	          	           	             	                                      	 0.19290   0.78309   0.05522  -1.03120  

  #54	6   	-105649.03981	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04314   0.06474   0.78791   0.19049  
      	     	          	           	             	                                      	 0.07311  -0.96452   0.02441   0.86699  
      	     	          	           	             	                                      	 0.87408   0.02398  -0.96494   0.06688  
      	     	          	           	             	                                      	 0.19075   0.76879   0.06037  -1.01991  

  #55	6   	-105172.58608	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.02092   0.07068   0.77254   0.17770  
      	     	          	           	             	                                      	 0.07982  -0.99247   0.01960   0.89306  
      	     	          	           	             	                                      	 0.85702   0.01925  -0.94693   0.07066  
      	     	          	           	             	                                      	 0.17794   0.79190   0.06378  -1.03363  

  #56	6   	-105479.65872	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.06653   0.06155   0.80446   0.20052  
      	     	          	           	             	                                      	 0.06950  -0.93821   0.02649   0.84221  
      	     	          	           	             	                                      	 0.89244   0.02603  -0.98170   0.06323  
      	     	          	           	             	                                      	 0.20079   0.74682   0.05708  -1.00469  

  #57	6   	-105441.57777	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04238   0.06273   0.79736   0.18229  
      	     	          	           	             	                                      	 0.07084  -0.95865   0.02424   0.86356  
      	     	          	           	             	                                      	 0.88455   0.02382  -0.97963   0.07127  
      	     	          	           	             	                                      	 0.18253   0.76575   0.06433  -1.01261  

  #58	6   	-105222.16530	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04861   0.07256   0.79342   0.18264  
      	     	          	           	             	                                      	 0.08194  -0.96817   0.01863   0.86761  
      	     	          	           	             	                                      	 0.88018   0.01830  -0.96438   0.06589  
      	     	          	           	             	                                      	 0.18289   0.76934   0.05948  -1.01170  

  #59	6   	-105133.12534	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.06137   0.06552   0.80643   0.18942  
      	     	          	           	             	                                      	 0.07399  -0.95364   0.02203   0.85762  
      	     	          	           	             	                                      	 0.89462   0.02164  -0.97447   0.05821  
      	     	          	           	             	                                      	 0.18968   0.76048   0.05255  -1.00270  

  #60	6   	-105075.56711	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04543   0.06065   0.79849   0.18629  
      	     	          	           	             	                                      	 0.06849  -0.95434   0.02101   0.86484  
      	     	          	           	             	                                      	 0.88581   0.02063  -0.97625   0.06981  
      	     	          	           	             	                                      	 0.18654   0.76688   0.06301  -1.01644  

